word,degree
倍加,-400
比较,-200
不胜,-400
才,-100
差点儿,-50
大,-400
大大,-400
大为,-400
顶,-400
多,-400
多么,-400
非常,-400
分外,-400
格外,-400
更,-400
更加,-400
够,-400
过于,-400
还,-200
还行,-200
还算,-200
何等,-400
何其,-400
很,-400
极,-400
极度,-400
极其,-400
几乎,-50
渐,-200
渐次,-200
渐渐,-200
较,-200
较为,-200
仅仅,-50
绝顶,-400
老,-400
颇,-400
稍,-100
深为,-400
甚,-400
甚为,-400
十分,-400
太,-400
特别,-400
挺,-200
万分,-400
无比,-400
相当,-400
异常,-400
益发,-400
尤其,-400
尤为,-400
有点儿,-100
愈加,-400
愈益,-400
越,-400
越发,-400
越加,-400
只是,-50
至,-400
最,-400
最为,-400
好,-200
